,Log (Decay Rate) (mV/h)
128,1.424554977
129,0.924795996
130,0.870403905
131,0.607455023
132,0.595496222
133,0.484299839
134,0.444044796
135,1.113943352
136,1.618048097
137,1.829303773
138,-0.259637311
139,-0.397940009
140,1.40654018
141,2.359835482
142,0.755874856
143,-1.045757491
144,0.437750563
145,0.460897843
146,0.469822016
147,0.712649702
148,1.971275849
149,0.564666064
150,0.614897216
151,0.702430536
152,1.508798965
153,0.371067862
154,0.790285164
155,1.037426498
156,1.018284308
157,0.870403905
158,0.833147112
159,0.672097858
160,-2.01
161,-2.07
162,0.662757832
163,0.73239376
164,0.1430148
165,-0.37675071
166,0.803457116
167,0.506505032
168,0.5132176
169,0.598790507
170,0.711807229
171,0.912222057
172,0.769377326
173,0.987666265
174,0.328379603
175,0.669316881
176,-0.602059991
177,-0.408935393
178,1.507451061
179,0.06069784
180,0.537819095
181,0.921166051
182,0.84509804
183,1.610660163
184,1.204119983
185,2.031408464
186,0.071882007
187,0.864511081
188,0.498310554
189,0.73239376
190,0.872156273
191,0.971739591
192,0.58546073
193,0.579783597
194,1.113943352
195,0.1430148
196,0.670245853
197,1.018700499
198,1.540954809
199,0.64246452
200,1.138618434
201,0.064457989
202,0.243038049
203,1.212720154
204,0.635483747
205,0.824125834
206,0.255272505
207,1.023663918
208,0.77815125
209,0.737192643
210,0.79518459
211,0.698970004
212,0.669316881
213,0.176091259
214,0.086359831
215,0.089905111
216,0.531478917
217,0.783903579
218,1.193124598
219,0.949390007
220,0.404833717
221,0.311753861
222,1.686636269
223,1.243038049
224,0.653212514
225,-0.200659451
226,0.954242509
227,0.740362689
228,1.183554534
229,2.001430812
230,1.176958981
231,0.997386384
232,1.346157302
233,1.519959181
234,0.522444234
235,0.096910013
236,0.397940009
237,-0.769551079
238,-0.698970004
239,-0.585026652
240,0.948412966
241,0.597695186
242,0.421603927
243,1.089198367
244,1.763427994
245,0.301029996
246,1.334453751
247,0.681241237
248,0.51851394
249,0.491361694
250,-0.744727495
251,0.660865478
252,0.902002891
253,1.289811839
254,0.113943352
255,0.496929648
256,1.672559628
257,1.196176185
258,1.601190533
259,0.136720567
260,0.225309282
261,-0.366531544
262,0.959518377
263,0.757396029
264,-2.37
265,-2.46
266,-1.15490196
267,0.190331698
268,0.413299764
269,0.10720997
270,-2.01
271,0.0
272,-1.397940009
273,-1.522878745
274,0.707570176
275,-2.0
276,0.877946952
277,0.831229694
278,0.680335513
279,-0.142667504
280,-0.148741651
281,0.309630167
282,0.390935107
283,1.24723655
284,0.855519156
285,0.311753861
286,0.399673721
287,-1.096910013
288,0.33243846
289,0.285557309
290,0.029383778
291,0.158362492
292,-0.017728767
293,-0.638272164
294,-0.022276395
295,0.553883027
296,0.021189299
297,-0.408935393
298,-0.37675071
299,0.686636269
300,-0.552841969
301,0.607455023
302,0.970346876
303,0.689308859
304,0.498310554
305,0.704150517
306,0.418301291
307,0.08278537
308,0.5774918
309,0.883093359
310,1.735997884
311,0.155336037
312,0.498310554
313,0.760422483
314,0.653212514
315,0.653212514
316,1.447158031
317,0.62324929
318,0.788875116
319,-0.045757491
320,1.210853365
321,-0.065501549
322,0.193124598
323,0.336459734
324,1.273001272
325,0.604226053
326,1.198657087
327,0.340444115
328,0.846955325
329,1.096214585
330,1.063708559
331,1.375663614
332,0.653212514
333,0.666517981
334,1.525044807
335,0.544068044
336,1.176091259
337,1.0
338,0.698970004
339,0.222716471
340,0.096910013
341,2.005352136
342,0.967079734
343,-0.15490196
344,0.397940009
345,0.421603927
346,1.2955671
347,1.572523098
348,1.659535907
349,0.334453751
350,-0.455931956
351,0.542825427
352,0.527629901
353,0.338456494
354,0.29666519
355,0.451786436
356,0.632457292
357,0.507855872
358,1.008600172
359,0.565847819
360,0.549003262
361,0.655138435
362,0.376576957
363,1.471731651
364,1.041392685
365,-0.070581074
366,0.475671188
367,0.667452953
368,0.653212514
369,0.725911632
370,-0.698970004
371,0.450249108
372,1.830331993
373,1.210586025
374,1.12904506
375,0.230448921
376,0.445604203
377,-0.420216403
378,0.017033339
379,0.758154622
380,-2.15
381,0.943988875
382,0.84260924
383,0.706717782
384,0.892651034
385,0.670245853
386,0.854306042
387,0.831869774
388,0.636487896
389,-0.958607315
390,-2.04
391,0.403120521
392,-1.045757491
393,1.14082218
394,-1.698970004
395,-0.48148606
396,2.18684337
397,1.405858399
398,0.903632516
399,0.660865478
400,0.788168371
401,0.820857989
402,0.301029996
403,0.416640507
404,0.46686762
405,1.255272505
406,-1.522878745
407,0.033423755
408,1.10002573
409,1.044931546
410,1.2219356
411,2.345118765
412,1.105510185
413,0.788168371
414,0.685741739
415,1.432809005
416,1.120244796
417,0.707570176
418,1.977723605
419,0.806179974
420,0.851869601
421,0.758154622
422,1.120902818
423,1.070037867
424,0.85308953
425,0.832508913
426,0.1430148
427,0.053078443
428,-0.455931956
429,0.283301229
